player_id,mlbam_id
Gonzalez_7174,471865
Cahill_5316,502239
Davis_7528,451584
Hanigan_215,452672
Fielder_493,425902
Weaver_455,450308
Capps_692,448165
Pence_382,452254
Ross_338,425496
Billingsley_460,451532
Danks_173,433579
Garza_856,490063
Napoli_445,435063
Guthrie_56,425386
Young_538,430321
Aardsma_79,430911
Bourn_371,456422
Liriano_5289,434538
Choo_245,425783
Sánchez_339,434671
Cruz_5398,443558
Kendrick_439,435062
Jones_61,430945
Jurrjens_26,457453
Prado_33,445988
Morales_5271,434778
Escobar_15,488862
Hughes_585,461833
Ellsbury_92,453056
Vargas_5364,450306
Kendrick_642,452718
Murphy_888,461815
Headley_5345,452104
Morrow_5361,453344
Pérez_5374,453198
Cabrera_242,452678
Callaspo_397,430948
Hochevar_410,460024
Mathis_442,425772
Volquez_227,450172
Breslow_5287,444520
Gordon_406,460086
Chamberlain_577,501955
Hanrahan_924,430629
McClellan_790,449072
O'Day_5392,503285
Ziegler_5321,446899
Loe_7208,434180
Johnson_5180,462382
Smith_564,501925
Casilla_7181,458210
Paulino_381,462956
Bautista_690,430832
Bruce_5219,457803
Weeks_513,430001
Votto_228,458015
Rodriguez_384,434643
Butler_396,456714
Cueto_5213,456501
Nolasco_332,445060
Hart_499,430611
Mármol_151,461791
Drew_428,452220
Hammel_832,434628
Davis_722,434658
Ryan_797,453895
Crawford_849,408307
Beltré_748,134181
Martinez_354,400121
Rivera_596,121250
Mauer_527,408045
Tulowitzki_278,453064
Halladay_898,136880
Arroyo_199,276520
Rolen_918,121409
Inge_292,276346
Samardzija_7271,502188
Tazawa_7259,547749
Venters_7236,458924
Ishikawa_5354,448170
Simmons_10673,592743
Lopez_7212,446641
Atchison_7250,425786
Sipp_5224,448609
Pena_5310,455369
Parnell_5296,458730
Parnell_5296,458730
Boesch_7382,453269
Gee_7452,518716
Gee_7452,518716
Duncan_579,455167
Jaso_7532,444379
Mayberry Jr._7475,460055
Bernadina_5419,465668
Revere_7444,519184
Rodriguez_8686,451775
Mazzaro_7422,476570
Reimold_7242,460099
Pennington_7344,460060
Hellickson_7531,476451
Teagarden_5395,460003
Frieri_7504,457117
Elbert_8760,455092
Simon_8440,430580
Swarzak_8539,461872
Guzman_8794,461882
Estrada_8695,462136
Bass_8772,542914
Dirks_8517,543108
Mateo_8665,456496
McKenry_7310,502374
Plouffe_7443,461858
Presley_7495,502100
Doubront_7253,467094
Sanchez_7411,459991
Gomez_11613,491646
Lawrie_8491,543434
Stewart_8744,455755
Amarista_8550,506560
Young Jr._7316,458913
Reynolds_7314,519186
Cruz_8734,488810
Griffin_14332,456167
Pollock_10693,572041
Ramos_11564,573109
Loup_11033,571901
Eaton_11309,594809
Ottavino_8731,493603
Russell_7539,452240
Warren_11761,476589
Cardenas_8607,502133
Recker_8606,489232
García_11605,541645
Boxberger_11493,502202
Barnes_11597,488681
Wallace_7340,477165
Dozier_10669,572821
Holt_11509,571788
Raley_11626,548384
Holaday_11603,592407
Morris_11505,457768
Capps_11480,605169
Culberson_11608,518586
Archer_8471,502042
Herrmann_11553,543302
Withrow_11573,519437
Allen_11612,592102
McHugh_11525,543521
McHugh_11525,543521
Brown_10682,446395
Keuchel_11592,572971
Jennings_10674,543359
Otero_9416,519096
Straily_11520,573185
Ruf_11517,573131
Lough_8533,518953
Phelps_10655,475479
Norris_8605,519083
Gregorius_11457,544369
Solano_10675,456781
Hutchison_10657,571800
Smyly_10664,592767
Ramirez_9418,541640
Perez_11449,516811
Galvis_9167,520471
Hernández_10690,491676
Conger_7320,474233
Pérez_11604,541650
Sánchez_8743,516949
Hoover_10685,543331
Diekman_9166,518617
Elmore_11307,518653
Odorizzi_11583,543606
Chapman_11625,488776
Segura_11562,516416
Locke_8704,502046
Familia_11524,544727
Familia_11524,544727
Kelly_11030,523260
Wieland_9415,543921
Mercer_10689,474568
Quintana_10660,500779
Edgin_11523,572831
Edgin_11523,572831
Francisco_7283,464433
Lake_11629,516809
Profar_11471,595777
Grimm_11467,518748
Maxwell_7462,452239
Wilson_11507,458677
Nieuwenhuis_9337,543590
Nieuwenhuis_9337,543590
Calhoun_10671,594777
Luetge_9417,476595
Avilan_11312,501593
Machado_11638,592518
Pérez_8625,527048
Gonzalez_11865,503556
Adams_10692,571431
Hague_9168,518755
Harvey_11063,518774
Harvey_11063,518774
Szczur_11631,519333
Zagurski_658,489448
Zagurski_658,489448
Mikolas_11497,571945
Jones_10659,518858
Vincent_11499,543883
Rodriguez_11570,572089
