,Index,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
798,727,1,2,0.333,4.74,8,8,0,0,0,0,38.0,36,23,20,6,12,0,47,1,0,1,163,87,3.89,1.263,8.5,1.4,2.8,11.1,3.92
799,4709,4,4,0.5,4.99,15,11,0,0,0,0,57.2,59,35,32,8,30,0,51,7,2,0,262,86,5.25,1.543,9.2,1.2,4.7,8.0,1.7
800,-1,2,2,0.5,5.67,12,6,1,0,0,0,39.2,50,26,25,8,17,0,25,3,0,1,182,77,6.16,1.689,11.3,1.8,3.9,5.7,1.47
801,4380,1,0,1.0,0.79,2,2,0,0,0,0,11.1,7,1,1,1,3,0,12,0,0,0,42,562,3.11,0.882,5.6,0.8,2.4,9.5,4.0
802,3781,0,0,0.0,9.64,1,0,0,0,0,0,4.2,7,5,5,1,3,0,5,0,0,0,24,48,5.86,2.143,13.5,1.9,5.8,9.6,1.67
803,3414,0,1,0.0,5.79,5,5,0,0,0,0,18.2,23,14,12,2,10,0,20,2,0,2,93,79,4.47,1.768,11.1,1.0,4.8,9.6,2.0
804,-1,0,1,0.0,3.86,1,0,0,0,0,0,2.1,3,1,1,0,1,0,0,0,0,1,11,139,4.57,1.714,11.6,0.0,3.9,0.0,0.0
805,-1,2,1,0.667,9.0,5,0,0,0,0,0,9.0,12,9,9,1,4,0,8,1,0,0,44,48,4.62,1.778,12.0,1.0,4.0,8.0,2.0
806,2032,2,5,0.286,5.21,12,5,2,0,0,0,38.0,39,22,22,4,9,0,23,6,0,1,161,85,4.63,1.263,9.2,0.9,2.1,5.4,2.56
807,4217,4,0,1.0,3.38,37,0,7,0,0,2,37.1,25,14,14,6,21,1,52,2,0,4,159,135,4.44,1.232,6.0,1.4,5.1,12.5,2.48
808,3169,4,0,1.0,2.31,45,0,1,0,0,1,39.0,36,12,10,5,14,0,38,1,0,0,166,206,4.16,1.282,8.3,1.2,3.2,8.8,2.71
809,-1,0,0,0.0,1.08,8,0,5,0,0,0,8.1,7,1,1,0,2,0,11,3,0,0,35,434,2.45,1.08,7.6,0.0,2.2,11.9,5.5
810,-1,1,0,1.0,5.29,18,0,2,0,0,0,17.0,20,13,10,1,13,1,13,0,0,2,83,86,4.82,1.941,10.6,0.5,6.9,6.9,1.0
811,3111,1,0,1.0,5.56,6,0,4,0,0,0,11.1,15,8,7,3,0,0,12,2,0,0,53,78,5.14,1.324,11.9,2.4,0.0,9.5,0.0
812,4780,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,2,0,0,0,3,0,-0.71,0.0,0.0,0.0,0.0,18.0,0.0
